feature,importance_gain,importance_split
pass_action_flag,2447.336050196135,125
action_rank,776.1630603774303,2196
partner_advantage_estimate,276.1247221229676,118
uses_phoenix_flag,265.9371114373207,31
action_length,230.84669653839626,504
self_hand_size,213.43519053332727,621
future_hand_quality_delta,133.99747679469058,175
action_combo_single,131.89248584655826,93
control_value_score,114.39016785472631,44
combo_count_after,94.3336872195006,53
self_near_out_flag,77.2135818723125,91
uses_mahjong_flag,58.055091231828555,115
premium_resource_pressure,47.42376354034059,3
actor_is_seat-1,40.86110535877879,91
dead_singles_count_before,31.89245465982515,67
singles_count,20.936140345875174,69
hand_quality_score,20.357746260880514,173
structure_preservation_score,17.242485202708174,86
shed_value_score,11.43930856945817,9
control_retention_estimate,11.092678592041608,16
likely_wins_current_trick_flag,6.815450314413557,31
opponent_threat_estimate,6.05109304189682,8
all_opponents_called_tichu_count,5.325641046278179,9
actor_is_seat-0,5.322849453528606,128
action_combo_unknown,0.9242840111255646,4
actor_called_tichu,0.8592272672714865,144
partner_hand_size,0.7001479195178004,18
right_opponent_called_tichu,0.5320403021760285,17
actor_is_seat-2,0.47282169573009014,13
dragon_in_hand,0.2864171974360943,4
left_opponent_hand_size,0.05298410405765708,57
right_opponent_hand_size,0.04687550201197155,14
resource_cost_score,0.01268478189012967,24
action_combo_pair,0.008623979985713959,5
dead_singles_count_after,8.05095987743698e-06,1
action_combo_straight,3.552710078910475e-15,1
uses_dog_flag,1.7763600157738027e-15,1
cards_remaining_self,0.0,0
cards_remaining_partner,0.0,0
cards_remaining_left_opponent,0.0,0
cards_remaining_right_opponent,0.0,0
partner_near_out_flag,0.0,0
left_opponent_near_out_flag,0.0,0
right_opponent_near_out_flag,0.0,0
any_opponent_near_out_flag,0.0,0
opponent_near_out_count,0.0,0
wish_active_flag,0.0,0
wished_rank,0.0,0
current_top_combo_rank,0.0,0
current_top_combo_length,0.0,0
current_trick_size,0.0,0
pass_select_phase_flag,0.0,0
exchange_phase_flag,0.0,0
pickup_phase_flag,0.0,0
actor_called_grand_tichu,0.0,0
partner_called_tichu,0.0,0
partner_called_grand_tichu,0.0,0
left_opponent_called_tichu,0.0,0
left_opponent_called_grand_tichu,0.0,0
right_opponent_called_grand_tichu,0.0,0
all_opponents_called_grand_tichu_count,0.0,0
cards_used_count,0.0,0
uses_bomb_flag,0.0,0
uses_dragon_flag,0.0,0
satisfies_wish_flag,0.0,0
overtakes_partner_flag,0.0,0
dead_singles_reduction,0.0,0
combo_count_before,0.0,0
finishability_score,0.0,0
endgame_pressure,0.0,0
bomb_count_in_hand,0.0,0
phoenix_in_hand,0.0,0
dog_in_hand,0.0,0
mahjong_in_hand,0.0,0
control_cards_count,0.0,0
pairs_count,0.0,0
triples_count,0.0,0
straights_count,0.0,0
pair_runs_count,0.0,0
bombs_count,0.0,0
isolated_high_singles_count,0.0,0
isolated_low_singles_count,0.0,0
phase_grand_tichu_window,0.0,0
phase_pass_select,0.0,0
phase_pass_reveal,0.0,0
phase_exchange_complete,0.0,0
phase_trick_play,0.0,0
phase_finished,0.0,0
actor_is_seat-3,0.0,0
active_seat_relation_self,0.0,0
active_seat_relation_partner,0.0,0
active_seat_relation_left_opponent,0.0,0
active_seat_relation_right_opponent,0.0,0
active_seat_relation_none,0.0,0
current_leader_relation_self,0.0,0
current_leader_relation_partner,0.0,0
current_leader_relation_left_opponent,0.0,0
current_leader_relation_right_opponent,0.0,0
current_leader_relation_none,0.0,0
current_top_combo_kind_single,0.0,0
current_top_combo_kind_pair,0.0,0
current_top_combo_kind_triple,0.0,0
current_top_combo_kind_straight,0.0,0
current_top_combo_kind_pair-sequence,0.0,0
current_top_combo_kind_full-house,0.0,0
current_top_combo_kind_bomb-four-kind,0.0,0
current_top_combo_kind_bomb-straight,0.0,0
current_top_combo_kind_dog,0.0,0
current_top_combo_kind_unknown,0.0,0
action_type_call_grand_tichu,0.0,0
action_type_decline_grand_tichu,0.0,0
action_type_call_tichu,0.0,0
action_type_select_pass,0.0,0
action_type_pass_turn,0.0,0
action_type_play_cards,0.0,0
action_type_assign_dragon_trick,0.0,0
action_type_advance_phase,0.0,0
action_combo_triple,0.0,0
action_combo_pair-sequence,0.0,0
action_combo_full-house,0.0,0
action_combo_bomb-four-kind,0.0,0
action_combo_bomb-straight,0.0,0
action_combo_dog,0.0,0
urgency_mode_normal,0.0,0
urgency_mode_opponent_near_out,0.0,0
urgency_mode_self_near_out,0.0,0
urgency_mode_partner_support,0.0,0
urgency_mode_endgame,0.0,0
